date,owner,guest,koeff_1,koeff_2,koeff_3
2 декабря,Истанбул Башакшехир,                       Лейпциг,7.90,                       5.50,1.44
2 декабря,Краснодар,                       Ренн,2.70,                       3.40,2.95
2 декабря,Ференцварош,                       Барселона,7.45,                       5.20,1.47
2 декабря,Ювентус,                       Динамо Киев,1.35,                       5.80,11.00
2 декабря,Манчестер Юнайтед,                       ПСЖ,2.75,                       3.75,2.70
2 декабря,Брюгге,                       Зенит,2.12,                       3.75,3.58
2 декабря,Боруссия Дортмунд,                       Лацио,1.65,                       4.45,5.35
2 декабря,Севилья,                       Челси,2.95,                       3.37,2.65
3 декабря,Заря,                       Лестер,5.40,                       4.05,1.73
3 декабря,АЕК,                       Брага,3.38
 ,                       4.04,2.18
3 декабря,Црвена Звезда,                       Хоффенхайм,3.15,                       3.80,2.29
3 декабря,Гент,                       Слован Либерец,1.67,                       4.45,5.30
3 декабря,Милан,                       Селтик,1.36,                       5.95,9.70
3 декабря,Лилль,                       Спарта Прага,1.44,                       5.65,7.35
3 декабря,Сивасспор,                       Вильярреал,5.75,                       4.30,1.64
3 декабря,Карабах,                       Маккаби Тель‑Авив,3.80,                       3.57,2.12
3 декабря,Фейеноорд,                       Динамо Загреб,2.23,                       3.70,3.30
3 декабря,ЦСКА,                       Вольфсберг,1.66,                       4.15,5.75
3 декабря,Антверпен,                       Лудогорец,1.52,                       5.00,6.90
3 декабря,ЛАСК,                       Тоттенхэм,4.80,                       4.40,1.74
3 декабря,Реал Сосьедад,                       Риека,1.16,                       9.15,22.00
3 декабря,АЗ Алкмаар,                       Наполи,4.44,                       4.00,1.85
3 декабря,Рома,                       Янг Бойз,2.07,                       3.95,3.90
3 декабря,ЧФР Клуж,                       ЦСКА София,1.72,                       4.00,5.70
3 декабря,Арсенал,                       Рапид,1.46,                       5.30,7.15
3 декабря,Мольде,                       Дандолк,1.23,                       8.10,17.00
3 декабря,Бенфика,                       Лех,1.28,                       6.60,11.25
3 декабря,Рейнджерс,                       Стандард,1.48,                       5.20,7.50
3 декабря,Славия Прага,                       Хапоэль Беэр‑Шева,1.27,                       6.60,12.50
3 декабря,Ницца,                       Байер,5.50,                       4.60,1.62
3 декабря,Омония,                       ПАОК,6.45,                       4.10,1.62
3 декабря,Гранада,                       ПСВ,2.56,                       3.52,2.94
4 декабря,Атлетик Бильбао,                       Сельта,2.27,                       3.30,3.65
5 декабря,Локомотив,                       Рубин,2.55,                       3.30,3.12
5 декабря,Спартак,                       Тамбов,1.20,                       7.85,24.00
5 декабря,Краснодар,                       Ротор,1.42,                       5.00,9.10
5 декабря,Зенит,                       Урал,1.37,                       5.65,9.90
